Unnamed: 0,Track Name,Artist(s),Popularity,Audio Preview,Cover Image,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Genre
207,Mangal Bhawan Amangal Hari,"Ritik Verma, Ranjan Ji Maharaj",40,https://p.scdn.co/mp3-preview/c8d580c90290291f701427a3ab0ddd23e933776d?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27392e44253bf4080708d7c6b68,0.563,0.644,-7.729,0.0386,0.463,0.0631,120.357,bhajan
157,"Mangal Murti Maruti Nandan, Jai Jai Bajrang Bali",Hari Om Sharan,53,https://p.scdn.co/mp3-preview/94dffb7cc09879d624ea915c82555ac0779b8f86?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273d843190595e7307f851bb111,0.413,0.603,-9.271,0.037,0.762,0.125,97.475,bhajan
782,Jai Shri Krishna Hare,Shankar Mahadevan,39,https://p.scdn.co/mp3-preview/fe7ce57d73ac1ed28df7aebcdfc381d2df5935a9?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273d2e5b36fd8e79bc2e3cc3d81,0.521,0.42,-9.876,0.0327,0.916,0.103,135.147,hindi devotional
1070,Ganesh Stuti,Sona Mohapatra,39,https://p.scdn.co/mp3-preview/1f8ef3e4995a7506ad7410fb946c380876518a0c?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731ece3e737ad70a0ee22dbd50,0.512,0.48,-5.943,0.0311,0.859,0.0966,111.408,hindi devotional
963,Jai Ambe Gauri Aarti,Alka Yagnik,44,https://p.scdn.co/mp3-preview/eb16aece38f957aa5e4f23efd48fed0f7c1b22e5?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273be023aa8ac378887046086c3,0.615,0.599,-7.679,0.0287,0.664,0.0959,93.965,hindi devotional
303,Surya Sukta,Ved Vrind,39,https://p.scdn.co/mp3-preview/4fd58c980e3b93fc3e44052581400b2ce7c1689c?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273617817bba6f2bbdc37261d02,0.549,0.457,-7.097,0.0644,0.872,0.166,85.228,bhajan
1889,Dreaming Stardust,Glow Crow,49,https://p.scdn.co/mp3-preview/59fd49465ea85a5d4ba427c454571e9001d608a7?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2735c942b1f6fd0a138a303d3d6,0.145,0.00212,-44.341,0.0354,0.979,0.0645,68.336,relaxation
1060,Aigiri Nandini - Mahishasura Mardini Stotram,Rajalakshmee Sanjay,55,https://p.scdn.co/mp3-preview/d23dbc0c2765a0fa7c5fbdc3727c4e0f32d23691?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273b6c249f94101e5e5322f4c27,0.801,0.85,-7.321,0.0593,0.112,0.116,116.017,hindi devotional
1885,Himmelweit,Kaspar Hahn,48,https://p.scdn.co/mp3-preview/074558013455cf10eeff2ec0939f01fc8da18e08?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731715002bfdbc8924dcafb876,0.154,0.0183,-35.216,0.052,0.929,0.0933,141.055,relaxation
2070,Deep In Mind,Nomadias,49,https://p.scdn.co/mp3-preview/19f2f991af5e3a5b1fed6e389ef792879153c676?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b273dd01cc3a3cad0343b3dd40cf,0.133,0.014,-36.981,0.0402,0.963,0.112,64.959,yoga
741,"Shriman Narayan (Traditional Dhun) [From ""Shriman Narayan (Traditional Dhun)""]",Suresh Wadkar,8,https://p.scdn.co/mp3-preview/b542e4f058f5bf55abe0d16f8ace41f5f9643d23?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273b7fcef53fbea8cb48a014d5f,0.395,0.781,-3.928,0.0357,0.144,0.139,102.246,hindi devotional
1477,Jab Main Tha Tab Hari Nahin - 40 Dohas,Kumar Vishu,9,https://p.scdn.co/mp3-preview/e8a16181e9c9dd967b17ce1157fe5b35a8828aa0?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27389794802f69936c904f35bfe,0.479,0.614,-8.243,0.0406,0.374,0.098,97.618,hindi devotional
1860,Reclinare,Dormiente,50,https://p.scdn.co/mp3-preview/6885ddd72185736e1556cb16a609e9e0dafafe46?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731bd6e8769c93402d77380b0b,0.156,0.00334,-39.864,0.039,0.98,0.129,134.347,relaxation
2517,Escape Into the Wild,"Dhyana Dan, Red Neptune, Umpirage",53,https://p.scdn.co/mp3-preview/bc9b1631bac9e1dbd4fb271653e7641c4244b02c?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b273c5ec84dd452c8df9c38bc2f1,0.185,0.215,-21.685,0.0343,0.335,0.112,67.083,yoga
732,Achutam Keshavam,Vikram Hazra,57,https://p.scdn.co/mp3-preview/26d89e46b8e32929b5a66327fc7b7efb729f3ac2?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273d36da157fde5398ddc9ce7e5,0.523,0.549,-11.508,0.0439,0.218,0.0797,92.521,hindi devotional
1510,Meri Bheegi Bheegi Si,"Kishore Kumar, R. D. Burman",60,https://p.scdn.co/mp3-preview/0875937e19ab3615fcc60bb500faf2058a295821?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27349c1949911566df218c5f0dd,0.441,0.428,-12.796,0.0329,0.238,0.335,104.199,hindi devotional
1188,"Ghana Ghana Sundara (From ""Bhakta Tukaram"")",Ghantasala,17,https://p.scdn.co/mp3-preview/5665e07c97d5386b055fbab6e1ecdab2a27017b9?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273c35bf245de837d3833d67864,0.517,0.491,-12.894,0.0583,0.988,0.394,103.768,hindi devotional
